File,Variant,LUFS,CrestFactor_dB,DR_dB,Bandwidth_-20dB_Hz
musicgen_sample_01,Raw,-19.227936226144,15.233845710754395,6.259520311776515,218.75
musicgen_sample_01,Restored,-21.94460265854228,16.841217958872665,6.662419468022942,226.5625
musicgen_sample_02,Raw,-18.578475119021007,15.274887084960938,7.709334564838372,257.8125
musicgen_sample_02,Restored,-20.578216342480733,15.62672986946454,7.777710075701036,304.6875
musicgen_sample_03,Raw,-17.154793094523864,13.838255405426025,6.704470291273397,468.75
musicgen_sample_03,Restored,-20.433771369451303,16.061326435076296,6.892880251249424,468.75
musicgen_sample_04,Raw,-17.18425302131959,13.072080612182617,6.674323065004611,554.6875
musicgen_sample_04,Restored,-18.694037063008867,13.76916847681614,6.970577106291729,882.8125
musicgen_sample_05,Raw,-15.895417350805078,13.914413452148438,6.393479783940576,898.4375
musicgen_sample_05,Restored,-18.18682290456321,14.457315428534763,6.843954929066811,898.4375
musicgen_sample_06,Raw,-14.877253029021617,11.608741283416748,6.89169790692266,593.75
musicgen_sample_06,Restored,-17.09963120775478,11.8628785911159,7.387506267679189,585.9375
musicgen_sample_07,Raw,-17.37871733445031,14.285343885421753,6.194687685319046,742.1875
musicgen_sample_07,Restored,-19.77396192557126,15.079664805930172,6.448685989657113,742.1875
musicgen_sample_08,Raw,-18.642006558665436,16.731343269348145,6.881059254398213,1851.5625
musicgen_sample_08,Restored,-19.339497990805455,17.02170603498841,7.592332874930738,1859.375
musicgen_sample_09,Raw,-14.032559596906282,12.44124174118042,6.105383739207899,3140.625
musicgen_sample_09,Restored,-16.232028687376474,12.885244850338724,6.240304096753693,1570.3125
musicgen_sample_10,Raw,-15.547450984672857,9.52574372291565,5.2819056523097085,93.75
musicgen_sample_10,Restored,-18.337492488660732,10.77455893345876,5.774783868518668,93.75
musicgen_sample_11,Raw,-14.260653953373714,11.764891147613525,5.449363742225227,1867.1875
musicgen_sample_11,Restored,-16.12886761825363,12.13380508561446,5.914828799876116,3703.125
musicgen_sample_12,Raw,-18.074741858154976,15.331931114196777,6.983072747926333,257.8125
musicgen_sample_12,Restored,-19.734628602462827,15.797852571443878,7.110918729162301,265.625
